nodes,hd_calc,hd_duration,ch_calc,ch_duration,nn_calc,nn_duration
4,21,1.6361679881811143e-05,32,2.2464199719252066e-05,13,1.0781720047816635e-05
5,64,4.9450318911112845e-05,53,3.3456339733675124e-05,19,1.4565200253855436e-05
6,185,0.00014451989947701803,99,5.15422597527504e-05,26,2.0397379848873243e-05
7,516,0.00040973905968712645,142,7.226354005979374e-05,34,2.5992339360527694e-05
8,1393,0.001116739400458755,227,9.882895959890447e-05,43,3.1608739373041314e-05
9,3648,0.0034582218795549124,300,0.0001309036799648311,53,3.901553965988569e-05
10,9297,0.008682459620176814,436,0.00017349112022202462,64,4.6090099931461734e-05
11,23140,0.02221236346027581,547,0.0002293441000801977,76,5.488399998284876e-05
12,56441,0.05656594414060237,746,0.00029264965996844694,89,6.351771909976378e-05
13,135312,0.13254280446082703,903,0.0004137103003449738,103,7.529792041168549e-05
